,US Rank,Grade,Name,Uploads,Subscribers,Views,Category,Created Date,Daily Average Subs,Daily Average Views,Min Daily Earning,Max Daily Earning,Min Monthly Earning,Max Monthly Earning,Min Yearly Earning,Max Yearly Earning,World Subscriber Rank,World Video View Rank,URL
0,1,A++,Cocomelon - Nursery Rhymes,416,44127136,25541274029,Education,"Sep 1st, 2006",125560,88514800,22100,354100,663900,10600000,8000000,127500000,11,7,https://socialblade.com/youtube/user/checkgate
1,2,A++,Liova kids show,7,7049961,734801342,,"Apr 28th, 2017",-864,-124216,0,0,0,0,0,0,708,3363,https://socialblade.com/youtube/user/qgrpfoyf2yncddbaxjgl7g
2,3,A+, Kids Diana Show,554,24160196,7640349172,Entertainment,"May 12th, 2015",80363,29709600,7400,118800,222800,3600000,2700000,42800000,54,112,https://socialblade.com/youtube/user/k8gzjmorta8yxdckfyljyw
3,4,A+,Vlad and Nikita,105,18943843,6681923108,,"Apr 23rd, 2018",64900,31416000,7900,125700,235600,3800000,2800000,45200000,103,147,https://socialblade.com/youtube/user/vle5gtbovjiolflem-c_ow
4,5,A+,WWE,40805,42099730,31435620458,Sports,"May 11th, 2007",45303,24296400,6100,97200,182200,2900000,2200000,35000000,12,3,https://socialblade.com/youtube/user/wwefannation
5,6,A+,Stacy Toys,161,14027303,4361505303,,"Nov 14th, 2017",60260,19513900,4900,78100,146400,2300000,1800000,28100000,200,304,https://socialblade.com/youtube/user/s94j1s6-qc8v7btcds2png
6,7,A+,Movieclips,32246,24964732,22285854340,Film,"Apr 28th, 2006",37262,25595300,6400,102400,192000,3100000,2300000,36900000,46,10,https://socialblade.com/youtube/user/movieclips
7,8,A+,Toys and Colors,238,10901022,6425735899,Education,"Mar 17th, 2016",27729,20061500,5000,80200,150500,2400000,1800000,28900000,337,155,https://socialblade.com/youtube/user/gfxm4ti8htwmcyj6cvpg_a
8,9,A+,Boram Tube Vlog [보�,180,11528563,3702842382,,"Feb 21st, 2012",60224,20672800,5200,82700,155000,2500000,1900000,29800000,295,377,https://socialblade.com/youtube/user/u2zneyhf9pi_wsqfbye96w
9,10,A+,Ryan ToysReview,1356,18989260,28730791075,Entertainment,"Mar 17th, 2015",11513,19519500,4900,78100,146400,2300000,1800000,28100000,101,4,https://socialblade.com/youtube/user/hgjghz9soohvbb0y4doo_w
10,11,A+,5-Minute Crafts,2973,53830753,13291598454,Howto,"Nov 15th, 2016",64599,15396600,3800,61600,115500,1800000,1400000,22200000,7,36,https://socialblade.com/youtube/user/295-dw_tdntzxfeapaw6aw
11,12,A+,PewDiePie,3806,94272352,21161543119,Entertainment,"Apr 29th, 2010",146125,13416000,3400,53700,100600,1600000,1200000,19300000,3,11,https://socialblade.com/youtube/user/pewdiepie
12,13,A+,EnduroLife.com,135,639634,201814018,Sports,"Oct 16th, 2012",949,223024,56,892,1700,26800,20100,321200,20193,14614,https://socialblade.com/youtube/user/bestmotorcyclevideos
13,14,A+,Johny FamilyShow,228,6232591,1970658228,,"Sep 4th, 2017",37126,12122600,3000,48500,90900,1500000,1100000,17500000,873,990,https://socialblade.com/youtube/user/q8kr1lnewd5zpx9_xkoubg
14,15,A+,SonyMusicIndiaVEVO,2997,20875412,9140654531,Music,"Sep 2nd, 2009",34559,12879200,3200,51500,96600,1500000,1200000,18500000,85,83,https://socialblade.com/youtube/user/sonymusicindiavevo
15,16,A,WORLDSTARHIPHOP,5333,20601916,14318929128,Music,"Nov 8th, 2008",17961,12011200,3000,48000,90100,1400000,1100000,17300000,88,32,https://socialblade.com/youtube/user/worldstarhiphoptv
16,17,A,Pinkfong! Kids' Songs & Stories,1227,17598933,8160073113,Education,"Dec 14th, 2011",38664,11756500,2900,47000,88200,1400000,1100000,16900000,130,100,https://socialblade.com/youtube/user/smartbooksmedia
