,US Rank,Grade,Name,Uploads,Subscribers,Views,Category,Created Date,Daily Average Subs,Daily Average Views,Min Daily Earning,Max Daily Earning,Min Monthly Earning,Max Monthly Earning,Min Yearly Earning,Max Yearly Earning,World Subscriber Rank,World Video View Rank,URL
0,1,A+,PewDiePie,3806,94275479,21161543119,Entertainment,"Apr 29th, 2010",146229,13416000,3400,53700,100600,1600000,1200000,19300000,3,11,https://socialblade.com/youtube/user/pewdiepie
1,2,A+,5-Minute Crafts,2973,53832999,13291598454,Howto,"Nov 15th, 2016",64674,15396600,3800,61600,115500,1800000,1400000,22200000,7,36,https://socialblade.com/youtube/user/295-dw_tdntzxfeapaw6aw
2,3,A++,Cocomelon - Nursery Rhymes,416,44131654,25541274029,Education,"Sep 1st, 2006",125711,88514800,22100,354100,663900,10600000,8000000,127500000,11,7,https://socialblade.com/youtube/user/checkgate
3,4,A+,WWE,40805,42100827,31435620458,Sports,"May 11th, 2007",45303,24296400,6100,97200,182200,2900000,2200000,35000000,12,3,https://socialblade.com/youtube/user/wwefannation
4,5,A,Dude Perfect,202,41275631,7684220326,Sports,"Mar 17th, 2009",37131,7820910,2000,31300,58700,938500,703900,11300000,13,111,https://socialblade.com/youtube/user/corycotton
5,6,B+,EminemMusic,117,37027504,682077093,Music,"Feb 9th, 2007",14967,536485,134,2100,4000,64400,48300,772500,17,3667,https://socialblade.com/youtube/user/eminemmusic
6,7,A-,Ariana Grande`,128,34895436,799538316,Music,"Jan 22nd, 2007",30353,1222970,306,4900,9200,146800,110100,1800000,20,3033,https://socialblade.com/youtube/user/osnapitzari
7,8,A,JustinBieberVEVO,122,33711279,18597027986,Music,"Sep 26th, 2009",-2185,2937280,734,11700,22000,352500,264400,4200000,24,16,https://socialblade.com/youtube/user/justinbiebervevo
8,9,A,Marshmello,285,33154849,5622365070,Music,"Apr 6th, 2015",60099,11857200,3000,47400,88900,1400000,1100000,17100000,25,195,https://socialblade.com/youtube/user/edvpu2pfrcvqu6yipytpmq
9,10,B-,Katy Perry,95,32946499,358497781,Entertainment,"Jun 1st, 2008",10891,16183,4,65,121,1900,1500,23300,26,7854,https://socialblade.com/youtube/user/katyperrymusic
10,11,B,Taylor Swift,160,32706393,236233812,Music,"Sep 20th, 2006",6382,64196,16,257,481,7700,5800,92400,27,12318,https://socialblade.com/youtube/user/taylorswift
11,12,A,TheEllenShow,10138,31837352,15492027434,Entertainment,"Nov 21st, 2006",17365,9049140,2300,36200,67900,1100000,814400,13000000,30,25,https://socialblade.com/youtube/user/theellenshow
12,13,B,YouTube,288,28052967,1849674308,News,--,1552,157483,39,630,1200,18900,14200,226800,34,1046,https://socialblade.com/youtube/user/youtube
13,14,A,TaylorSwiftVEVO,82,27624698,16425040185,Music,"May 12th, 2009",-2024,3287940,822,13200,24700,394600,295900,4700000,35,21,https://socialblade.com/youtube/user/taylorswiftvevo
14,15,A,EminemVEVO,84,26296915,12952950575,Music,"May 12th, 2009",-1526,5204360,1300,20800,39000,624500,468400,7500000,38,39,https://socialblade.com/youtube/user/eminemvevo
15,16,A,KatyPerryVEVO,126,26272876,17258163609,Music,"Dec 13th, 2009",-1715,4625490,1200,18500,34700,555100,416300,6700000,39,18,https://socialblade.com/youtube/user/katyperryvevo
16,17,A,RihannaVEVO,106,26263513,13864487594,Music,"May 12th, 2009",-1221,3296760,824,13200,24700,395600,296700,4700000,40,33,https://socialblade.com/youtube/user/rihannavevo
17,18,A,Trap Nation,1642,26031965,9076184337,Music,"Sep 23rd, 2012",14742,5165040,1300,20700,38700,619800,464900,7400000,41,84,https://socialblade.com/youtube/user/alltrapnation
18,19,B-,Maroon 5,153,25414141,226026458,Music,"Mar 9th, 2006",22071,24791,6,99,186,3000,2200,35700,42,12888,https://socialblade.com/youtube/user/maroon5
19,20,A+,Movieclips,32246,24965809,22287175100,Film,"Apr 28th, 2006",37300,25595300,6400,102400,192000,3100000,2300000,36900000,46,10,https://socialblade.com/youtube/user/movieclips
20,21,B-,Luis Fonsi,73,24926706,16470127,Entertainment,"Feb 25th, 2014",11785,5903,1,24,44,708,531,8500,47,175982,https://socialblade.com/youtube/user/luisfonsivivo
21,22,A,Bruno Mars,67,24561896,10529505466,Music,"Sep 19th, 2006",9473,3596990,899,14400,27000,431600,323700,5200000,49,70,https://socialblade.com/youtube/user/elektrarecords
22,23,A,Smosh,1044,24262274,8341373858,Comedy,"Nov 19th, 2005",3238,2969330,742,11900,22300,356300,267200,4300000,53,97,https://socialblade.com/youtube/user/smosh
23,24,A+, Kids Diana Show,554,24162009,7642076846,Entertainment,"May 12th, 2015",80424,29709600,7400,118800,222800,3600000,2700000,42800000,54,112,https://socialblade.com/youtube/user/k8gzjmorta8yxdckfyljyw
24,25,A,Markiplier,4370,23648624,10980271458,Games,"May 26th, 2012",9457,4760910,1200,19000,35700,571300,428500,6900000,59,60,https://socialblade.com/youtube/user/markipliergame
25,26,A,[賈] ToyPudding TV,2549,23515946,13868739740,Entertainment,"May 13th, 2014",27113,9384340,2300,37500,70400,1100000,844600,13500000,61,34,https://socialblade.com/youtube/user/toypudding
26,27,B+,Ninja,875,21900246,1810581430,Games,"Nov 11th, 2011",4998,1220900,305,4900,9200,146500,109900,1800000,76,1076,https://socialblade.com/youtube/user/ninjashyper
27,28,A-,shane,1695,21446772,4902007575,Comedy,"Sep 22nd, 2005",6817,1495500,374,6000,11200,179500,134600,2200000,78,234,https://socialblade.com/youtube/user/shane
28,29,B+,nigahiga,368,21343866,4034827125,Entertainment,"Jul 21st, 2006",998,773186,193,3100,5800,92800,69600,1100000,80,328,https://socialblade.com/youtube/user/nigahiga
29,30,B,Selena Gomez,170,20927889,475840109,Film,"Feb 8th, 2008",6228,100899,25,404,757,12100,9100,145300,84,5627,https://socialblade.com/youtube/user/selgomez
30,31,A+,SonyMusicIndiaVEVO,2997,20875844,9141449247,Music,"Sep 2nd, 2009",34573,12879200,3200,51500,96600,1500000,1200000,18500000,85,83,https://socialblade.com/youtube/user/sonymusicindiavevo
31,32,A,The Tonight Show Starring Jimmy,5144,20657960,11039606817,Comedy,"Jan 8th, 2006",11776,5327170,1300,21300,40000,639300,479400,7700000,87,59,https://socialblade.com/youtube/user/latenight
32,33,A,WORLDSTARHIPHOP,5333,20602815,14319583977,Music,"Nov 8th, 2008",17996,12011200,3000,48000,90100,1400000,1100000,17300000,88,32,https://socialblade.com/youtube/user/worldstarhiphoptv
33,34,A,David Guetta,495,20167121,11230037995,Music,"Dec 11th, 2009",4853,4540670,1100,18200,34100,544900,408700,6500000,92,55,https://socialblade.com/youtube/user/davidguettavevo
34,35,B+,JennaMarbles,445,19525101,3111249529,Comedy,"Feb 16th, 2010",4335,1405800,351,5600,10500,168700,126500,2000000,93,494,https://socialblade.com/youtube/user/jennamarbles
35,36,A,shakiraVEVO,144,19382175,15829017006,Music,"Sep 2nd, 2009",-1142,4608820,1200,18400,34600,553100,414800,6600000,96,23,https://socialblade.com/youtube/user/shakiravevo
36,37,A,XXXTENTACION,71,19365536,3614794169,People,"Jun 23rd, 2015",22845,5063900,1300,20300,38000,607700,455800,7300000,97,391,https://socialblade.com/youtube/user/m9r1xn6s30onljwb-jc3sw
37,38,A,The Late Late Show with James,3363,19059209,5783705636,Entertainment,"Nov 21st, 2006",12535,4547690,1100,18200,34100,545700,409300,6500000,100,187,https://socialblade.com/youtube/user/thelatelateshow
38,39,A+,Ryan ToysReview,1356,18989260,28730791075,Entertainment,"Mar 17th, 2015",11527,19519500,4900,78100,146400,2300000,1800000,28100000,101,4,https://socialblade.com/youtube/user/hgjghz9soohvbb0y4doo_w
39,40,A,Logan Paul Vlogs,615,18964450,4368329181,Entertainment,"Aug 29th, 2015",3976,2121850,530,8500,15900,254600,191000,3100000,102,299,https://socialblade.com/youtube/user/g8rbf3g2amx70yod8vqizg
40,41,A+,Vlad and Nikita,105,18944931,6681923108,,"Apr 23rd, 2018",64900,31416000,7900,125700,235600,3800000,2800000,45200000,103,147,https://socialblade.com/youtube/user/vle5gtbovjiolflem-c_ow
41,42,A,ArianaGrandeVevo,106,18866572,11583134579,Music,"Oct 21st, 2010",-1127,9085720,2300,36300,68100,1100000,817700,13100000,104,48,https://socialblade.com/youtube/user/arianagrandevevo
42,43,B+,FBE,1915,18810619,7724507331,Entertainment,"Jun 4th, 2007",7987,6031710,1500,24100,45200,723800,542900,8700000,105,110,https://socialblade.com/youtube/user/thefinebros
43,44,A,BuzzFeedVideo,5975,18784793,15068278992,People,"Aug 10th, 2011",6360,4803930,1200,19200,36000,576500,432400,6900000,106,28,https://socialblade.com/youtube/user/buzzfeedvideo
44,45,B+,Skrillex,164,18670790,5011103393,Music,"Apr 6th, 2010",2594,1115280,279,4500,8400,133800,100400,1600000,108,228,https://socialblade.com/youtube/user/theofficialskrillex
45,46,B-,Nicki Minaj,18,18616609,88376099,Music,"Aug 28th, 2013",5916,14859,4,59,111,1800,1300,21400,109,34621,https://socialblade.com/youtube/user/nickiminajtelevision
46,47,A,Jake Paul,767,18531469,5671070232,People,"Sep 19th, 2013",9330,4194090,1000,16800,31500,503300,377500,6000000,110,190,https://socialblade.com/youtube/user/jakepaulproductions
47,48,B+,The Chainsmokers,155,18381829,745665726,Music,"Sep 22nd, 2012",15415,639737,160,2600,4800,76800,57600,921200,113,3317,https://socialblade.com/youtube/user/thechainsmokers
48,49,A,LuisFonsiVEVO,66,18344896,10660167392,Music,"May 12th, 2009",-1406,5208120,1300,20800,39100,625000,468700,7500000,114,66,https://socialblade.com/youtube/user/luisfonsivevo
49,50,D-,Vevo,1557,18292187,572938838,Music,"Apr 14th, 2006",3668,80062,20,320,600,9600,7200,115300,115,4515,https://socialblade.com/youtube/user/vevo
50,51,A,Little Baby Bum - Nursery Rhymes &,864,18260259,18852287969,Education,"Jun 22nd, 2011",11501,6485290,1600,25900,48600,778200,583700,9300000,116,15,https://socialblade.com/youtube/user/littlebabybum
51,52,A,TEDx Talks,131855,18241267,3252874897,Nonprofit,"Jun 23rd, 2009",20916,2826190,707,11300,21200,339100,254400,4100000,117,467,https://socialblade.com/youtube/user/tedxtalks
52,53,B,Beyonc矇,218,18223579,799932253,Music,"Nov 7th, 2005",5156,157780,39,631,1200,18900,14200,227200,118,3024,https://socialblade.com/youtube/user/beyonce
53,54,A,Wiz Khalifa,456,18016795,8703478109,Music,"May 9th, 2008",9160,3083490,771,12300,23100,370000,277500,4400000,123,91,https://socialblade.com/youtube/user/taylorgangent
54,55,A,Ultra Music,3748,18013472,10359357624,Music,"Oct 24th, 2006",16244,5430270,1400,21700,40700,651600,488700,7800000,124,73,https://socialblade.com/youtube/user/ultrarecords
55,56,B,Drake,67,17966811,357274562,Music,"Jun 5th, 2009",6886,150927,38,604,1100,18100,13600,217300,126,7881,https://socialblade.com/youtube/user/drakeofficial
56,57,A,Collins Key,232,17676879,3249005445,Entertainment,"Aug 9th, 2011",11903,4139730,1000,16600,31000,496800,372600,6000000,129,469,https://socialblade.com/youtube/user/collinskey
57,58,A,Pinkfong! Kids' Songs & Stories,1227,17598933,8160073113,Education,"Dec 14th, 2011",38664,11756500,2900,47000,88200,1400000,1100000,16900000,130,100,https://socialblade.com/youtube/user/smartbooksmedia
58,59,B,Enrique Iglesias,353,17430387,354250763,Music,"Apr 12th, 2007",7238,120446,30,482,903,14500,10800,173400,132,7949,https://socialblade.com/youtube/user/enriqueiglesiasplay
59,60,B-,ImagineDragons,51,17422113,18332720,Music,"Aug 3rd, 2009",12641,6734,2,27,51,808,606,9700,133,159427,https://socialblade.com/youtube/user/imaginedragons
60,61,A,MrBeast,717,17118536,2267034686,Games,"Feb 20th, 2012",33299,5239260,1300,21000,39300,628700,471500,7500000,137,791,https://socialblade.com/youtube/user/mrbeast6000
61,62,B+,PTXofficial,179,16779300,3900906949,Music,"Sep 10th, 2011",3505,1305350,326,5200,9800,156600,117500,1900000,141,341,https://socialblade.com/youtube/user/ptxofficial
62,63,B+,Liza Koshy,150,16767641,2012198687,Comedy,"Sep 2nd, 2013",3443,919295,230,3700,6900,110300,82700,1300000,142,940,https://socialblade.com/youtube/user/xsz6jvymzvhtkrahwzc7hq
63,64,A,PopularMMOs,4422,16462181,12788116590,Games,"Apr 17th, 2012",3305,3310530,828,13200,24800,397300,297900,4800000,145,40,https://socialblade.com/youtube/user/popularmmos
64,65,A,James Charles,217,16195324,1409300568,Entertainment,"Dec 1st, 2015",33020,3452650,863,13800,25900,414300,310700,5000000,151,1499,https://socialblade.com/youtube/user/ucot-zp428owkyrm2i7v2q
65,66,B-,ChrisBrownTV,17,15970092,32145558,Music,"Dec 20th, 2006",7332,13511,3,54,101,1600,1200,19500,155,94076,https://socialblade.com/youtube/user/chrisbrowntv
