,Rank,Grade,Name,Uploads,Subscribers,Views,Daily Average Subs,Daily Average Video Views,Daily Min Estimated Earnings,Daily Max Estimated Earnings,URL
0,1,A+,PewDiePie,3804,94213512,21154615410,144446,13416000,3400,53700,https://socialblade.com/youtube/user/pewdiepie
1,2,A+,5-Minute Crafts,2970,53776226,13280449943,63044,15396600,3800,61600,https://socialblade.com/youtube/user/295-dw_tdntzxfeapaw6aw
2,3,A++,Cocomelon - Nursery Rhymes,415,44010502,25460364278,122242,88514800,22100,354100,https://socialblade.com/youtube/user/checkgate
3,4,A+,WWE,40771,42069396,31415288099,44395,24296400,6100,97200,https://socialblade.com/youtube/user/wwefannation
4,5,A,Dude Perfect,202,41255100,7679716467,36551,7820910,2000,31300,https://socialblade.com/youtube/user/corycotton
5,6,B+,EminemMusic,117,37016304,681747076,14646,536485,134,2100,https://socialblade.com/youtube/user/eminemmusic
6,7,A-,Ariana Grande`,128,34874542,798849450,29747,1222970,306,4900,https://socialblade.com/youtube/user/osnapitzari
7,8,A,JustinBieberVEVO,122,33713373,18594971143,-2115,2937280,734,11700,https://socialblade.com/youtube/user/justinbiebervevo
8,9,A,Marshmello,284,33114225,5614999790,58940,11857200,3000,47400,https://socialblade.com/youtube/user/edvpu2pfrcvqu6yipytpmq
9,10,B-,Katy Perry,95,32938355,358485924,10657,16183,4,65,https://socialblade.com/youtube/user/katyperrymusic
10,11,B,Taylor Swift,160,32700416,236140679,6214,64196,16,257,https://socialblade.com/youtube/user/taylorswift
11,12,A,TheEllenShow,10133,31825789,15485245906,17041,9049140,2300,36200,https://socialblade.com/youtube/user/theellenshow
12,13,B,YouTube,288,28051868,1849567960,1522,157483,39,630,https://socialblade.com/youtube/user/youtube
13,14,A,TaylorSwiftVEVO,82,27626794,16422560183,-1954,3287940,822,13200,https://socialblade.com/youtube/user/taylorswiftvevo
14,15,A,EminemVEVO,84,26298302,12949577578,-1480,5204360,1300,20800,https://socialblade.com/youtube/user/eminemvevo
15,16,A,KatyPerryVEVO,126,26274542,17255048718,-1659,4625490,1200,18500,https://socialblade.com/youtube/user/katyperryvevo
16,17,A,RihannaVEVO,106,26264624,13862234593,-1184,3296760,824,13200,https://socialblade.com/youtube/user/rihannavevo
17,18,A,Trap Nation,1640,26021650,9072682016,14445,5165040,1300,20700,https://socialblade.com/youtube/user/alltrapnation
18,19,B-,Maroon 5,153,25398411,226006658,21603,24791,6,99,https://socialblade.com/youtube/user/maroon5
19,20,A+,Movieclips,32226,24939946,22269184271,36556,25595300,6400,102400,https://socialblade.com/youtube/user/movieclips
20,21,B-,Luis Fonsi,73,24918258,16466118,11546,5903,1,24,https://socialblade.com/youtube/user/luisfonsivivo
21,22,A,Bruno Mars,67,24554774,10527163165,9276,3596990,899,14400,https://socialblade.com/youtube/user/elektrarecords
22,23,A,Smosh,1044,24259461,8338588311,3167,2969330,742,11900,https://socialblade.com/youtube/user/smosh
23,24,A+, Kids Diana Show,554,24099301,7617147474,78559,29709600,7400,118800,https://socialblade.com/youtube/user/k8gzjmorta8yxdckfyljyw
24,25,A,Markiplier,4369,23644493,10977166159,9353,4760910,1200,19000,https://socialblade.com/youtube/user/markipliergame
25,26,A,[∏Î] ToyPudding TV,2550,23492060,13860131359,26445,9384340,2300,37500,https://socialblade.com/youtube/user/toypudding
26,27,B+,Ninja,875,21895482,1809791455,4864,1220900,305,4900,https://socialblade.com/youtube/user/ninjashyper
27,28,A-,shane,1695,21443237,4900724741,6726,1495500,374,6000,https://socialblade.com/youtube/user/shane
28,29,B+,nigahiga,368,21343771,4034335126,997,773186,193,3100,https://socialblade.com/youtube/user/nigahiga
29,30,B,Selena Gomez,170,20922970,475784742,6085,100899,25,404,https://socialblade.com/youtube/user/selgomez
30,31,A+,SonyMusicIndiaVEVO,2997,20847509,9130777420,33755,12879200,3200,51500,https://socialblade.com/youtube/user/sonymusicindiavevo
31,32,A,The Tonight Show Starring Jimmy,5142,20647133,11035092755,11472,5327170,1300,21300,https://socialblade.com/youtube/user/latenight
32,33,A,WORLDSTARHIPHOP,5326,20589617,14311344011,17628,12011200,3000,48000,https://socialblade.com/youtube/user/worldstarhiphoptv
33,34,A,David Guetta,495,20164003,11226876122,4762,4540670,1100,18200,https://socialblade.com/youtube/user/davidguettavevo
34,35,B+,JennaMarbles,445,19523749,3110627084,4303,1405800,351,5600,https://socialblade.com/youtube/user/jennamarbles
35,36,A,shakiraVEVO,144,19383299,15825797093,-1104,4608820,1200,18400,https://socialblade.com/youtube/user/shakiravevo
36,37,A,XXXTENTACION,71,19351858,3611513914,22423,5063900,1300,20300,https://socialblade.com/youtube/user/m9r1xn6s30onljwb-jc3sw
37,38,A,The Late Late Show with James,3358,19052580,5780869962,12347,4547690,1100,18200,https://socialblade.com/youtube/user/thelatelateshow
38,39,A+,Ryan ToysReview,1355,18981964,28716646286,11326,19519500,4900,78100,https://socialblade.com/youtube/user/hgjghz9soohvbb0y4doo_w
39,40,A,Logan Paul Vlogs,614,18962647,4366866567,3942,2121850,530,8500,https://socialblade.com/youtube/user/g8rbf3g2amx70yod8vqizg
40,41,A+,Vlad and Nikita,105,18899181,6659896507,63607,31416000,7900,125700,https://socialblade.com/youtube/user/vle5gtbovjiolflem-c_ow
41,42,A,ArianaGrandeVevo,106,18867694,11576834757,-1089,9085720,2300,36300,https://socialblade.com/youtube/user/arianagrandevevo
42,43,B+,FBE,1915,18805445,7709441005,7835,6031710,1500,24100,https://socialblade.com/youtube/user/thefinebros
43,44,A,BuzzFeedVideo,5972,18780712,15065048775,6243,4803930,1200,19200,https://socialblade.com/youtube/user/buzzfeedvideo
44,45,B+,Skrillex,164,18668710,5010348279,2533,1115280,279,4500,https://socialblade.com/youtube/user/theofficialskrillex
45,46,B-,Nicki Minaj,18,18612438,88365662,5787,14859,4,59,https://socialblade.com/youtube/user/nickiminajtelevision
46,47,A,Jake Paul,767,18522302,5667671039,9050,4194090,1000,16800,https://socialblade.com/youtube/user/jakepaulproductions
47,48,B+,The Chainsmokers,155,18369321,745272771,15028,639737,160,2600,https://socialblade.com/youtube/user/thechainsmokers
48,49,A,LuisFonsiVEVO,66,18346325,10656657624,-1359,5208120,1300,20800,https://socialblade.com/youtube/user/luisfonsivevo
49,50,D-,Vevo,1557,18289699,572821392,3592,80062,20,320,https://socialblade.com/youtube/user/vevo
50,51,A,Little Baby Bum - Nursery Rhymes &,863,18250981,18847484130,11217,6485290,1600,25900,https://socialblade.com/youtube/user/littlebabybum
51,52,A,TEDx Talks,131789,18222251,3250430183,20356,2826190,707,11300,https://socialblade.com/youtube/user/tedxtalks
52,53,B,Beyonc√©,218,18220096,799844305,5046,157780,39,631,https://socialblade.com/youtube/user/beyonce
53,54,A,Wiz Khalifa,456,18010189,8701240056,8963,3083490,771,12300,https://socialblade.com/youtube/user/taylorgangent
54,55,A,Ultra Music,3748,18004741,10356001973,15974,5430270,1400,21700,https://socialblade.com/youtube/user/ultrarecords
55,56,B,Drake,67,17962446,357175747,6757,150927,38,604,https://socialblade.com/youtube/user/drakeofficial
56,57,A,Collins Key,232,17667294,3245046820,11648,4139730,1000,16600,https://socialblade.com/youtube/user/collinskey
57,58,A,Pinkfong! Kids' Songs & Stories,1226,17568658,8151535718,37701,11756500,2900,47000,https://socialblade.com/youtube/user/smartbooksmedia
58,59,B,Enrique Iglesias,353,17425993,354172062,7109,120446,30,482,https://socialblade.com/youtube/user/enriqueiglesiasplay
59,60,B-,ImagineDragons,51,17413190,18328333,12355,6734,2,27,https://socialblade.com/youtube/user/imaginedragons
60,61,A,MrBeast,717,17095129,2263651446,32606,5239260,1300,21000,https://socialblade.com/youtube/user/mrbeast6000
61,62,B+,PTXofficial,179,16777497,3900112541,3452,1305350,326,5200,https://socialblade.com/youtube/user/ptxofficial
62,63,B+,Liza Koshy,150,16766387,2011763896,3414,919295,230,3700,https://socialblade.com/youtube/user/xsz6jvymzvhtkrahwzc7hq
63,64,A,PopularMMOs,4421,16460236,12785445081,3256,3310530,828,13200,https://socialblade.com/youtube/user/popularmmos
64,65,A,James Charles,216,16175395,1407621741,32503,3452650,863,13800,https://socialblade.com/youtube/user/ucot-zp428owkyrm2i7v2q
65,66,B-,ChrisBrownTV,17,15960962,32139876,7074,13511,3,54,https://socialblade.com/youtube/user/chrisbrowntv
66,67,A,Maroon5VEVO,114,15498777,12609126125,-983,7444910,1900,29800,https://socialblade.com/youtube/user/maroon5vevo
67,68,A-,SelenaGomezVEVO,127,15446683,7079400370,-973,1782820,446,7100,https://socialblade.com/youtube/user/selenagomezvevo
68,69,A,Good Mythical Morning,2211,15288025,5327682135,4267,2928860,732,11700,https://socialblade.com/youtube/user/rhettandlink2
69,70,B+,Roman Atwood Vlogs,1611,15231850,5007017825,682,694564,174,2800,https://socialblade.com/youtube/user/romanatwoodvlogs
70,71,A,SSSniperWolf,2076,15229390,3548522310,14446,1974100,494,7900,https://socialblade.com/youtube/user/sssniperwolf
71,72,B-,Demi Lovato,189,15197964,394173788,2235,29269,7,117,https://socialblade.com/youtube/user/therealdemilovato
72,73,D-,LooLoo Kids - Nursery Rhymes and,404,15187790,5982824796,22584,4556980,1100,18200,https://socialblade.com/youtube/user/loolookids
73,74,B,Sia,61,14967713,207415852,8222,123691,31,495,https://socialblade.com/youtube/user/siavideos
74,75,A,MalumaVEVO,93,14911877,11131569313,-824,6613380,1700,26500,https://socialblade.com/youtube/user/malumavevo
75,76,B+,FailArmy,743,14578641,5163243447,1679,678195,170,2700,https://socialblade.com/youtube/user/failarmy
76,77,A-,Charlie Puth,79,14527054,5617317692,6299,2150430,538,8600,https://socialblade.com/youtube/user/charliesvlogs
77,78,B,DJ Snake,94,14522970,47482123,13848,164211,41,657,https://socialblade.com/youtube/user/djsnaketv
78,79,B+,ERB,70,14409802,3111936307,376,648990,162,2600,https://socialblade.com/youtube/user/erb
79,80,A,jeffreestar,334,14249272,1555524156,16161,2110670,528,8400,https://socialblade.com/youtube/user/jeffreestar
80,81,B+,EeOneGuy,316,14238837,3307644787,2920,621924,155,2500,https://socialblade.com/youtube/user/eeoneguy
81,82,B+,Brave Wilderness,520,14235776,2595475946,3793,1026640,257,4100,https://socialblade.com/youtube/user/breakingtrail
82,83,A,Jimmy Kimmel Live,3895,14137518,7480307054,7305,4821340,1200,19300,https://socialblade.com/youtube/user/jimmykimmellive
83,84,A,Lele Pons,113,14109482,2672621245,7287,2946340,,-,https://socialblade.com/youtube/user/i9cdo6239razppbzo9y5sa
84,85,B+,Rclbeauty101,411,14077420,3300867387,1130,805807,201,3200,https://socialblade.com/youtube/user/rclbeauty101
85,86,A+,Stacy Toys,161,13957381,4338420846,58279,19513900,4900,78100,https://socialblade.com/youtube/user/s94j1s6-qc8v7btcds2png
86,87,A,Linkin Park,491,13914191,6995662705,6410,3553190,888,14200,https://socialblade.com/youtube/user/linkinparktv
87,88,A-,Clash of Clans,303,13878285,1764359736,4220,1339150,335,5400,https://socialblade.com/youtube/user/officialclashofclans
88,89,A,Tasty,2872,13848298,2628690317,18013,3904500,976,15600,https://socialblade.com/youtube/user/jfp8usycjxomnkuyb3cq3q
89,90,A,EnriqueIglesiasVEVO,132,13657087,12040073603,-788,3428280,857,13700,https://socialblade.com/youtube/user/enriqueiglesiasvevo
90,91,A,Beyonc√©VEVO,131,13582095,9521046701,-698,3031860,758,12100,https://socialblade.com/youtube/user/beyoncevevo
91,92,B+,Wengie,233,13494977,1390829962,3188,703213,176,2800,https://socialblade.com/youtube/user/wwwengie
92,93,A,Movieclips Trailers,7856,13489562,10464617728,4892,2753080,688,11000,https://socialblade.com/youtube/user/movieclipstrailers
93,94,A,Guava Juice,1297,13461046,5505011977,6171,3628070,907,14500,https://socialblade.com/youtube/user/aynakoitsroi
94,95,B+,TED,3005,13363218,1390385670,8550,979517,245,3900,https://socialblade.com/youtube/user/tedtalksdirector
95,96,A-,NickiMinajAtVEVO,63,13355373,6373179951,-669,1906450,477,7600,https://socialblade.com/youtube/user/nickiminajatvevo
96,97,B+,CollegeHumor,3378,13341691,6913858358,1345,1376620,344,5500,https://socialblade.com/youtube/user/collegehumor
97,98,B-,Lady Gaga,162,13271380,111978390,12194,16743,4,67,https://socialblade.com/youtube/user/ladygagaofficial
98,99,B-,Michael Jackson,2,13184587,2677382,11666,42155,11,169,https://socialblade.com/youtube/user/michaeljackson
99,100,A,5-Minute Crafts GIRLY,1355,13132432,2032377246,31478,5978440,1500,23900,https://socialblade.com/youtube/user/2eteupifohp4p53wm0kima
100,101,B+,TheRichest,2803,12895497,6211038105,4490,1299860,325,5200,https://socialblade.com/youtube/user/dxi8d8qrsryui2eryjyb-w
101,102,B,Romeo Santos,14,12808441,339024314,14499,58859,15,235,https://socialblade.com/youtube/user/romeo
102,103,A,Troom Troom,856,12794162,3912365258,13960,4323640,1100,17300,https://socialblade.com/youtube/user/wwqhwqlsrdwmgp5dzg5dzg
103,104,B-,Becky G,55,12710825,34198937,6809,12288,3,49,https://socialblade.com/youtube/user/beckygofficial
104,105,A,CalvinHarrisVEVO,126,12635391,10616501660,-875,4691300,1200,18800,https://socialblade.com/youtube/user/calvinharrisvevo
105,106,A-,Boyce Avenue,359,12615501,4596625041,3650,1487850,372,6000,https://socialblade.com/youtube/user/boyceavenue
106,107,A,5-Minute Crafts KIDS,1572,12583983,2321267357,24277,4654110,1200,18600,https://socialblade.com/youtube/user/57xajj04ty8gnxowf-sy0q
107,108,A,ChrisBrownVEVO,190,12577023,7930271751,-633,2772790,693,11100,https://socialblade.com/youtube/user/chrisbrownvevo
108,109,B-,Fifth Harmony,67,12503506,128565151,2700,20459,5,82,https://socialblade.com/youtube/user/officialfifthharmony
109,110,A,Reaction Time,1395,12441104,3666025667,9064,2983090,746,11900,https://socialblade.com/youtube/user/hm5ff2yveiz16ewib081cg
110,111,B+,The Slow Mo Guys,255,12326059,1701255207,4866,1193170,298,4800,https://socialblade.com/youtube/user/theslowmoguys
111,112,B,Miley Cyrus,75,12291807,312138349,2405,233955,58,936,https://socialblade.com/youtube/user/mileyofficialonline
112,113,A,DisneyMusicVEVO,786,12202600,7842071961,6370,4455210,1100,17800,https://socialblade.com/youtube/user/disneymusicvevo
113,114,A,ChainsmokersVEVO,145,12193961,8493876603,-1346,4392330,1100,17600,https://socialblade.com/youtube/user/chainsmokersvevo
114,115,A,Jelly,3343,12167536,4781665486,13444,7561400,1900,30200,https://socialblade.com/youtube/user/jellyyt
115,116,A,Post Malone,23,12166692,1068850035,27267,2803870,701,11200,https://socialblade.com/youtube/user/postmalone
116,117,A,Kids TV - Nursery Rhymes And Baby,2442,12144474,6073111664,12615,-290520,0,0,https://socialblade.com/youtube/user/7pq3ko42ypkcb_q4e981jw
117,118,A,Marvel Entertainment,5722,12093830,2697475498,22193,3811560,953,15200,https://socialblade.com/youtube/user/marvel
118,119,A,Fueled By Ramen,1157,12009299,10953260363,4187,4080470,1000,16300,https://socialblade.com/youtube/user/fueledbyramen
119,120,B+,DemiLovatoVEVO,165,11986438,4428245949,-686,867196,217,3500,https://socialblade.com/youtube/user/demilovatovevo
120,121,A,David Dobrik,561,11982802,4403845497,15574,7030430,1800,28100,https://socialblade.com/youtube/user/mh5gdwcx6ln7gec20lenva
121,122,A,IGN,132227,11908768,8864573850,4764,3351580,838,13400,https://socialblade.com/youtube/user/ignentertainment
122,123,B+,FaZe Rug,1419,11902535,2292363182,8319,1458370,365,5800,https://socialblade.com/youtube/user/orugrat
123,124,B,Pitbull,222,11805368,214138904,3282,48047,12,192,https://socialblade.com/youtube/user/pitbullmusic
124,125,A-,H2ODelirious,1774,11688908,2741466487,2980,1363620,341,5500,https://socialblade.com/youtube/user/h2odelirious
125,126,A,MattyBRaps,243,11685903,5410238475,5354,2472500,618,9900,https://socialblade.com/youtube/user/mattybraps
126,127,A-,FunToys Collector Disney Toys,2697,11666122,14639992618,2344,1636960,409,6500,https://socialblade.com/youtube/user/disneycollectorbr
127,128,B,Sky Does Everything,1908,11607979,3790374435,223,249161,62,997,https://socialblade.com/youtube/user/skydoesminecraft
128,129,B+,Lindsey Stirling,118,11595868,2576363377,1926,797908,199,3200,https://socialblade.com/youtube/user/lindseystomp
129,130,B+,The Game Theorists,514,11553545,1994831702,3451,1262780,316,5100,https://socialblade.com/youtube/user/matthewpatrick13
130,131,A+,Boram Tube Vlog [Î≥¥Î,180,11487946,3687330864,59095,20672800,5200,82700,https://socialblade.com/youtube/user/u2zneyhf9pi_wsqfbye96w
